Vout X,Vout YRe,Vout YReImag
1000000,3560.448514192029,-1.217152694386664
1258925.411794167,3560.448447387696,-1.532304503686094
1584893.192461114,3560.448341509894,-1.929057171454404
1995262.31496888,3560.448173703925,-2.428539279823626
2511886.431509581,3560.447907750515,-3.057350183774043
3162277.66016838,3560.447486241547,-3.848976579080925
3981071.705534974,3560.446818193013,-4.845575901248703
5011872.336272725,3560.445759403238,-6.100221582742045
6309573.444801935,3560.444081322809,-7.679729845900973
7943282.347242818,3560.441421717599,-9.668218786443678
10000000,3560.437206457358,-12.1715897168331
12589254.11794168,3560.430525547382,-15.3231702848019
15848931.92461114,3560.41993658406,-19.29082161506749
19952623.14968881,3560.403153110394,-24.28589140924837
25118864.31509582,3560.376550348587,-30.57449667817693
31622776.60168381,3560.334380901226,-38.49175069736789
39810717.05534975,3560.267529473533,-48.45971922845798
50118723.36272726,3560.161533497081,-61.01011688597084
63095734.44801937,3559.993431659867,-76.81306120977727
79432823.47242822,3559.726733025324,-96.71363256972199
100000000.0000001,3559.303352824333,-121.7786182427905
125892541.1794168,3558.630603285391,-153.3567865386234
158489319.2461115,3557.56000144245,-193.157596657883
199526231.4968882,3555.852237196939,-243.355877270344
251188643.1509583,3553.118012324879,-306.7345794859425
316227766.0168384,3548.715095423913,-386.885797613744
398107170.5534979,3541.561950621276,-488.5044414795224
501187233.6272731,3529.783493682769,-617.8326138624882
630957344.4801943,3509.999928893027,-783.346394322508
794328234.7242829,3475.818403449723,-996.7983752485123
1000000000.000002,3414.479814077785,-1274.606584153091
1258925411.794169,3299.212993278486,-1638.700993541633
1584893192.461116,3072.340014211957,-2111.785936959513
1995262314.968883,2615.387048008939,-2686.277611837223
2511886431.509585,1746.705837044811,-3212.709050550615
3162277660.168386,460.1852613851602,-3248.59354806241
3981071705.53498,-632.4166915881784,-2480.481508467012
5011872336.272733,-975.6062461506493,-1457.337961639699
6309573444.801946,-839.7721277399219,-744.2741845825664
7943282347.242832,-601.8825151315567,-361.4482191005758
10000000000.00002,-402.2069814940526,-172.7492200622536
12589254117.9417,-260.9995355609677,-81.66140787382407
15848931924.61117,-167.1178971183921,-37.83523767680899
19952623149.68885,-106.3036034798996,-16.80813292633458
25118864315.09587,-67.38524394891634,-6.816108651602006
31622776601.68388,-42.63185340437003,-2.17308569062524
39810717055.34984,-26.93990850892948,-0.112806678935738
50118723362.72737,-17.01091324571365,0.715407490762223
63095734448.01951,-10.73528950301836,0.970573734936312
79432823472.42839,-6.771397618134685,0.972194489810505
100000000000,-4.268682645191342,0.8729490977548389
