Phase X,Phase Y
1000000,-0.01958677661442705
1258925.411794167,-0.02465829146721299
1584893.192461114,-0.03104295104080948
1995262.31496888,-0.03908076251873507
2511886.431509581,-0.04919977022748209
3162277.66016838,-0.06193885133017047
3981071.705534974,-0.07797641454057373
5011872.336272725,-0.09816653093524309
6309573.444801935,-0.1235844224864328
7943282.347242818,-0.1555837337895397
10000000,-0.1958686429926796
12589254.11794168,-0.2465846642146901
15848931.92461114,-0.3104330012040033
19952623.14968881,-0.390814590243195
25118864.31509582,-0.492011599390231
31622776.60168381,-0.6194162416993011
39810717.05534975,-0.7798194708529727
50118723.36272726,-0.9817756982048069
63095734.44801937,-1.236064479795622
79432823.47242822,-1.556276804928923
100000000.0000001,-1.959563283997515
125892541.1794168,-2.467596202242305
158489319.2461115,-3.107820861548766
199526231.4968882,-3.915111112939773
251188643.1509583,-4.934013536875019
316227766.0168384,-6.221891855269675
398107170.5534979,-7.853521880792007
501187233.6272731,-9.928143380385633
630957344.4801943,-12.580851987467
794328234.7242829,-16.00188089088251
1000000000.000002,-20.47032741138248
1258925411.794169,-26.41333860979266
1584893192.461116,-34.50285162092479
1995262314.968883,-45.7660778888163
2511886431.509585,-61.46768118583149
3162277660.168386,-81.93730984879676
3981071705.53498,-104.3032508376884
5011872336.272733,-123.8000954079708
6309573444.801946,-138.4500345579414
7943282347.242832,-149.0139403156556
10000000000.00002,-156.7563181162325
12589254117.9417,-162.6261675160784
15848931924.61117,-167.2433734229558
19952623149.68885,-171.0150928840655
25118864315.09587,-174.2240997676809
31622776601.68388,-177.0819713307003
39810717055.34984,-179.7600842324162
50118723362.72737,-182.4082004754287
63095734448.01951,-185.1660461642218
79432823472.42839,-188.1703318996074
100000000000,-191.5576760570282
